,SERVICETIME,SCHEDULED_TIME,DUE_TIME,READY_TIME,TIME_CHECK,SCHEDULED_TOUR
0,0,0.0,480,0,False,
1,17,149.28,80,0,False,3.0
2,16,160.86,480,0,True,2.0
3,16,241.77,480,0,True,2.0
4,16,36.12,480,0,True,2.0
5,16,17.72,480,0,True,2.0
6,16,53.92,480,0,True,2.0
7,17,158.71,480,0,True,5.0
8,17,44.6,470,0,True,5.0
9,26,289.18,480,0,True,2.0
10,19,309.87,480,0,True,2.0
11,19,331.56,480,0,True,2.0
12,26,357.62,480,0,True,2.0
13,26,386.95,480,0,True,2.0
14,19,139.96,350,0,True,2.0
15,19,100.09,140,0,True,2.0
16,16,358.27,480,0,True,4.0
17,18,66.84,480,0,True,5.0
18,17,118.48,480,0,True,2.0
19,16,122.89,480,0,True,4.0
20,16,202.75,480,0,True,5.0
21,18,230.58,480,0,True,5.0
22,17,176.69,480,0,True,5.0
23,16,340.65,480,0,True,5.0
24,16,274.53,480,0,True,4.0
25,16,26.73,480,0,True,5.0
26,19,137.34,480,0,True,5.0
27,18,263.14,480,0,True,2.0
28,17,114.21,480,0,True,5.0
29,16,223.42,480,0,True,2.0
30,16,409.73,480,0,True,2.0
31,18,92.5,110,0,True,5.0
32,45,334.72,480,0,True,4.0
33,18,71.24,50,0,False,3.0
34,16,79.12,155,0,True,4.0
35,18,45.9,20,0,False,1.0
36,17,104.81,65,0,False,3.0
37,19,155.29,95,0,False,4.0
38,19,47.12,65,0,True,3.0
39,51,465.53,480,0,True,2.0
40,49,454.58,480,0,True,5.0
41,44,276.09,480,0,True,5.0
42,18,202.08,275,0,True,2.0
43,17,73.78,65,0,False,2.0
44,21,37.14,185,0,True,4.0
45,43,321.42,480,0,True,5.0
46,46,390.36,480,0,True,5.0
47,20,199.89,320,0,True,4.0
48,19,183.96,261,0,True,2.0
49,16,70.74,480,5,True,1.0
50,17,50.0,35,20,False,3.0
51,47,105.0,480,33,True,3.0
52,47,251.64,480,33,True,4.0
53,49,359.03,480,58,True,3.0
54,52,163.0,480,58,True,3.0
55,17,98.0,80,66,False,6.0
56,23,135.27,95,81,False,6.0
57,19,160.51,140,81,False,6.0
58,16,131.79,110,96,False,7.0
59,51,186.05,480,108,True,7.0
60,46,243.28,480,108,True,7.0
61,23,193.89,170,111,False,3.0
62,18,268.66,231,111,False,7.0
63,20,135.54,140,111,True,9.0
64,21,165.99,155,111,False,9.0
65,18,139.36,155,111,True,8.0
66,19,139.97,125,111,False,0.0
67,19,254.51,260,111,True,0.0
68,18,201.21,170,111,False,0.0
69,20,222.55,260,111,True,0.0
70,16,287.33,480,118,True,3.0
71,16,163.73,480,118,True,0.0
72,17,521.42,480,118,False,0.0
73,18,552.17,480,118,False,0.0
74,16,512.07,480,118,False,4.0
75,16,265.0,480,118,True,3.0
76,18,238.13,480,118,True,3.0
77,16,218.99,215,126,False,3.0
78,50,470.78,480,168,True,3.0
79,49,415.98,480,168,True,3.0
80,16,303.76,260,185,False,3.0
81,23,295.52,230,200,False,0.0
82,18,315.0,275,201,False,0.0
83,17,458.85,480,215,True,0.0
84,18,249.63,260,216,True,11.0
85,21,249.0,230,216,False,10.0
86,18,340.21,410,216,True,0.0
87,18,370.09,480,216,True,0.0
88,48,323.45,480,228,True,10.0
89,52,430.87,480,233,True,0.0
90,23,492.89,395,245,False,4.0
91,19,348.44,320,245,False,10.0
92,18,282.98,275,245,False,12.0
93,19,388.58,480,258,True,12.0
94,20,388.97,480,258,True,4.0
95,16,372.17,480,258,True,10.0
96,17,302.34,425,261,True,12.0
97,49,441.73,480,263,True,4.0
98,53,365.71,480,263,True,12.0
99,20,395.69,480,276,True,10.0
100,54,349.96,480,288,True,14.0
101,51,461.0,480,288,True,14.0
102,21,430.34,380,305,False,10.0
103,17,409.49,480,318,True,12.0
104,19,366.15,365,335,False,13.0
105,17,463.88,425,366,False,4.0
106,19,495.73,480,395,False,0.0
107,20,496.06,425,411,False,14.0
